"id_alternative","id_criteria","value"
"21","5","87"
"20","4","90"
"20","5","80"
"20","3","85"
"20","2","90"
"14","2","87"
"14","1","78"
"15","5","9"
"15","4","90"
"15","3","85"
"15","2","87"
"15","1","87"
"16","5","80"
"16","4","87"
"16","3","87"
"16","2","85"
"16","1","81"
"17","5","90"
"17","3","78"
"17","4","92"
"17","2","88"
"17","1","87"
"18","5","86"
"18","4","95"
"18","3","90"
"18","1","87"
"18","2","83"
"19","5","94"
"19","4","90"
"19","3","70"
"20","1","85"
"21","1","76"
"21","2","80"
"21","3","85"
"21","4","90"
"19","1","84"
"14","5","90"
"13","1","85"
"13","2","86"
"14","3","88"
"14","4","90"
"19","2","87"
"13","3","85"
"13","4","88"
"13","5","87"
"12","5","100"
"12","4","100"
"12","3","100"
"12","2","100"
"12","1","100"
"22","1","95"
"22","2","75"
"22","3","85"
"22","4","78"
"22","5","85"
"23","1","76"
"23","2","75"
"23","3","78"
"23","4","82"
"23","5","86"
"24","1","88"
"24","2","92"
"24","3","94"
"24","4","91"
"24","5","85"
"25","1","79"
"25","2","83"
"25","3","85"
"25","4","86"
"25","5","88"
"26","1","92"
"26","2","95"
"26","3","96"
"26","4","79"
"26","5","84"
"27","1","88"
"27","2","95"
"27","3","83"
"27","4","87"
"27","5","85"
"28","1","82"
"28","2","78"
"28","3","77"
"28","4","75"
"28","5","80"
"29","1","87"
"29","2","86"
"29","3","89"
"29","4","91"
"29","5","85"
"30","1","95"
"30","2","90"
"30","3","85"
"30","4","87"
"30","5","85"
"31","1","87"
"31","2","85"
"31","3","78"
"31","4","88"
"31","5","82"
"32","1","87"
"32","2","85"
"32","3","82"
"32","4","81"
"32","5","90"
"33","1","80"
"33","2","76"
"33","3","78"
"33","4","80"
"33","5","83"
"34","1","87"
"34","2","72"
"34","3","88"
"34","4","86"
"34","5","85"
"35","1","90"
"35","2","88"
"35","3","82"
"35","4","85"
"35","5","87"
"36","1","88"
"36","2","78"
"36","3","85"
"36","4","95"
"36","5","90"
"37","1","80"
"37","2","88"
"37","3","86"
"37","4","85"
"37","5","78"
"38","1","90"
"38","2","85"
"38","3","80"
"38","4","78"
"38","5","80"
"39","1","85"
"39","2","83"
"39","3","80"
"39","4","92"
"39","5","88"
"40","1","92"
"40","2","80"
"40","3","85"
"40","4","78"
"40","5","87"
"41","1","85"
"41","2","87"
"41","3","76"
"41","4","80"
"41","5","85"
"42","1","87"
"42","2","90"
"42","3","85"
"42","4","82"
"42","5","80"
"43","1","82"
"43","2","85"
"43","3","86"
"43","4","84"
"43","5","88"
"44","1","85"
"44","2","80"
"44","3","89"
"44","4","87"
"44","5","81"
"45","1","88"
"45","2","88"
"45","3","82"
"45","4","89"
"45","5","84"
"46","1","92"
"46","2","72"
"46","3","83"
"46","4","91"
"46","5","82"
"47","1","95"
"47","2","83"
"47","3","78"
"47","4","95"
"47","5","95"
"48","1","87"
"48","2","86"
"48","3","75"
"48","4","78"
"48","5","92"
"49","1","80"
"49","2","81"
"49","3","79"
"49","4","72"
"49","5","89"
"50","1","75"
"50","2","90"
"50","3","80"
"50","4","86"
"50","5","88"
"51","1","89"
"51","2","94"
"51","3","83"
"51","4","81"
"51","5","86"
"52","1","79"
"52","2","91"
"52","3","87"
"52","4","74"
"52","5","93"
"53","1","89"
"53","2","76"
"53","3","70"
"53","4","76"
"53","5","90"
"54","1","79"
"54","2","77"
"54","3","81"
"54","4","78"
"54","5","82"
"55","1","91"
"55","2","80"
"55","3","82"
"55","4","80"
"55","5","80"
"56","1","90"
"56","2","85"
"56","3","85"
"56","4","84"
"56","5","78"
"57","1","88"
"57","2","87"
"57","3","88"
"57","4","87"
"57","5","75"
"58","1","82"
